Valor;MSE;
1;289600941;VERDADEIRO
1,01;291087958;FALSO
1,02;292639609;FALSO
1,03;294259747;FALSO
1,04;295952411;FALSO
1,05;297721846;FALSO
1,06;299572531;FALSO
1,07;301509200;FALSO
1,08;303536871;FALSO
1,09;305660870;FALSO
1,1;307886861;FALSO
1,11;310220873;FALSO
1,12;312669340;FALSO
1,13;315239127;FALSO
1,14;317937575;FALSO
1,15;320772539;FALSO
1,16;323752437;FALSO
1,17;326886294;FALSO
1,18;330183800;FALSO
1,19;333655366;FALSO
1,2;337312191;FALSO
1,21;341166331;FALSO
1,22;345230776;FALSO
1,23;349519539;FALSO
1,24;354047743;FALSO
1,25;358831732;FALSO
1,26;363889178;FALSO
1,27;369239215;FALSO
1,28;374902567;FALSO
1,29;380901714;FALSO
1,3;387261054;FALSO
1,31;394007096;FALSO
1,32;401168667;FALSO
1,33;408777152;FALSO
1,34;416866747;FALSO
1,35;425474753;FALSO
1,36;434641897;FALSO
1,37;444412681;FALSO
1,38;454835541;FALSO
1,39;465959444;FALSO
1,4;477779254;FALSO
1,41;489738674;FALSO
1,42;501295487;FALSO
1,43;514936042;FALSO
1,44;532387247;FALSO
1,45;561171291;FALSO
1,46;602948020;FALSO
1,47;654382145;FALSO
1,48;715611734;FALSO
1,49;787664127;FALSO
1,5;872541825;FALSO
1,51;972927835;FALSO
1,52;1092231215;FALSO
1,53;1235324882;FALSO
1,54;1408806976;FALSO
1,55;1621930291;FALSO
1,56;1812869130;FALSO
1,57;2345687209;FALSO
1,58;3110261581;FALSO
1,59;3149284833;FALSO
1,6;5847059700;FALSO
1,61;9578063810;FALSO
1,62;10658886983;FALSO
1,63;420011057923;FALSO
1,64;26072078167;FALSO
1,65;18081478095;FALSO
