Nome,Tipo,NUM_CENTERS,True_Negative,False_Positive,False_Negative,True_Positive,Recall,Precisao,%PrevistaNegativo,%PrevistaPositiva
RBF,Teste,100,5208,80,1873,50,0.026001040041601663,0.38461538461538464,0.9819719872417141,0.01802801275828595
RBF,Teste,1000,5255,33,1904,19,0.009880395215808632,0.36538461538461536,0.9927887948966856,0.0072112051033143805
RBF,Teste,2000,5259,29,1911,12,0.0062402496099844,0.2926829268292683,0.994314242130079,0.005685757869920954
RBF,Teste,40,78814,37522,28177,14129,7.347373894955796,7.495864000252538,14.837193177090555,7.162806822909444
RBF,Teste,4000,5279,9,1922,1,0.0005200208008320333,0.1,0.9986132297878242,0.0013867702121758425
RBF,Teste,500,5248,40,1888,35,0.018200728029121163,0.4666666666666667,0.9895992234086812,0.010400776591318819
RBF,Treino,100,20739,413,7232,460,0.059802392095683825,0.5269186712485682,0.9697337401192623,0.03026625988073776
RBF,Treino,1000,20592,560,6339,1353,0.17589703588143527,0.7072660742289597,0.9336777146026903,0.06632228539730967
RBF,Treino,2000,20671,481,6490,1202,0.156266250650026,0.7142008318478906,0.9416516433227015,0.05834835667729857
RBF,Treino,40,686706,333878,241242,129897,7.524816548217483,9.596868519647126,14.842397417525696,7.157602582474307
RBF,Treino,4000,20854,298,7271,421,0.0547321892875715,0.5855354659248957,0.9750728054361393,0.024927194563860767
RBF,Treino,500,20661,491,6714,978,0.12714508580343215,0.6657590197413207,0.9490708639578422,0.05092913604215781
