Nome;Tipo;NUM_CENTERS;True_Negative;False_Positive;False_Negative;True_Positive;Total;Positivo Real;Negativo Real;Positivo Previsto;Negativo Previsto;% Positivos Previstos;% Previstos Negativos;Precisao;Recall;Precis N;Recall N
RBF;Teste;100;26351;10665;9280;4181;50477;13461;37016;14846;35631;29%;71%;28,16%;31,06%;73,96%;71,19%
RBF;Teste;120;26296;10720;9295;4166;50477;13461;37016;14886;35591;29%;71%;27,99%;30,95%;73,88%;71,04%
RBF;Teste;150;26099;10917;9284;4177;50477;13461;37016;15094;35383;30%;70%;27,67%;31,03%;73,76%;70,51%
RBF;Teste;200;26142;10874;9277;4184;50477;13461;37016;15058;35419;30%;70%;27,79%;31,08%;73,81%;70,62%
RBF;Teste;250;26008;11008;9232;4229;50477;13461;37016;15237;35240;30%;70%;27,75%;31,42%;73,80%;70,26%
RBF;Teste;40;26298;10718;9237;4224;50477;13461;37016;14942;35535;30%;70%;28,27%;31,38%;74,01%;71,04%
RBF;Teste;80;26431;10585;9290;4171;50477;13461;37016;14756;35721;29%;71%;28,27%;30,99%;73,99%;71,40%
RBF;Treino;100;239361;93783;82337;38812;454293;121149;333144;132595;321698;29%;71%;0,292710887;0,320365831;0,744054983;0,718491103
RBF;Treino;120;239089;94055;82004;39145;454293;121149;333144;133200;321093;29%;71%;0,293881381;0,323114512;0,744609817;0,717674639
RBF;Treino;150;238058;95086;81301;39848;454293;121149;333144;134934;319359;30%;70%;0,295314746;0,328917284;0,745424428;0,714579881
RBF;Treino;200;239171;93973;80695;40454;454293;121149;333144;134427;319866;30%;70%;0,300936568;0,333919389;0,747722484;0,717920779
RBF;Treino;250;239177;93967;79722;41427;454293;121149;333144;135394;318899;30%;70%;0,305973677;0,341950821;0,750008623;0,717938789
RBF;Treino;40;237166;95978;82511;38638;454293;121149;333144;134616;319677;30%;70%;0,287023831;0,318929583;0,741892598;0,711902361
RBF;Treino;80;239246;93898;82431;38718;454293;121149;333144;132616;321677;29%;71%;0,291955722;0,319589926;0,743746056;0,718145907
