,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive,,,,,,,
0,Arvore,Teste,0,409,119,115,79,,,CM,TruePositives,TrueNegatives,FalsePositives,FalseNegatives
1,Arvore,Teste,1,421,111,101,88,,,Teste,844,4177,1111,1079
2,Arvore,Teste,2,422,101,108,90,,,Treino,17307,47592,0,0
3,Arvore,Teste,3,434,92,110,85,,,,,,,
4,Arvore,Teste,4,392,131,110,88,,,,,,,
5,Arvore,Teste,5,406,127,95,93,,,,,,,
6,Arvore,Teste,6,439,94,118,70,,,,,,,
7,Arvore,Teste,7,438,111,90,82,,,,,,,
8,Arvore,Teste,8,409,113,120,79,,,,,,,
9,Arvore,Teste,9,407,112,112,90,,,,,,,
10,Arvore,Treino,0,4760,0,0,1729,,,,,,,
11,Arvore,Treino,1,4756,0,0,1734,,,,,,,
12,Arvore,Treino,2,4765,0,0,1725,,,,,,,
13,Arvore,Treino,3,4762,0,0,1728,,,,,,,
14,Arvore,Treino,4,4765,0,0,1725,,,,,,,
15,Arvore,Treino,5,4755,0,0,1735,,,,,,,
16,Arvore,Treino,6,4755,0,0,1735,,,,,,,
17,Arvore,Treino,7,4739,0,0,1751,,,,,,,
18,Arvore,Treino,8,4766,0,0,1724,,,,,,,
19,Arvore,Treino,9,4769,0,0,1721,,,,,,,
