Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,5731,233,15631,38
0.2,Teste,5627,867,14997,142
0.3,Teste,504,14954,910,5265
0.4,Teste,56,15753,111,5713
0.5,Teste,6,15856,8,5763
0.6,Teste,0,15863,1,5769
0.7,Teste,0,15863,1,5769
0.8,Teste,0,15864,0,5769
0.9,Teste,0,15864,0,5769
1.0,Teste,0,15864,0,5769
0.1,Treino,51643,2331,140445,278
0.2,Treino,50746,8199,134577,1175
0.3,Treino,4758,134659,8117,47163
0.4,Treino,534,141850,926,51387
0.5,Treino,47,142723,53,51874
0.6,Treino,0,142775,1,51921
0.7,Treino,0,142776,0,51921
0.8,Treino,0,142776,0,51921
0.9,Treino,0,142776,0,51921
1.0,Treino,0,142776,0,51921
